rank,candidate,selected,bucket,families,reasoning_signature,score,states,witness,hamming_1,hamming_le_2,fog,overlaps,edge_rays,zero_depends,reach_depends,plate_depends,distributed_evidence,causal_ambiguity,overlap_quality,negative_evidence_quality,mechanic_interaction,symmetry_penalty,edge_abuse_penalty,trivial_witness_penalty,long_witness_penalty,near_duplicate_penalty
19,dense_height_plate_shutter-008,,dense,HEIGHT+PLATE+SHUTTER,OVERLAP -> SHADOW -> ZERO -> TYPE -> SHUTTER -> ORIENTATION,34.4875,1518000,9,17,121,0,3,3,True,False,False,19.4,8.3169,3.4,1.2,5.1,0.0,-2.9294,0.0,-0.0,0.0
20,finale-005,,finale,HEIGHT+PLATE+LIGHT+SHUTTER,OVERLAP -> SHADOW -> ZERO -> LIGHT -> ORIENTATION -> TYPE -> SHUTTER,34.1329,6072000,8,6,132,0,2,2,True,False,False,18.0,8.4663,2.6,1.2,5.8,0.0,-1.9334,0.0,-0.0,0.0
21,finale-022,,finale,HEIGHT+PLATE+LIGHT+SHUTTER,OVERLAP -> SHADOW -> REACH -> LIGHT -> SHUTTER -> TYPE -> ORIENTATION,33.9918,6072000,9,27,223,0,1,2,False,False,False,20.2,9.3688,1.8,0.0,4.3,0.0,-1.677,0.0,-0.0,0.0
22,finale-004,,finale,HEIGHT+PLATE+LIGHT+SHUTTER,OVERLAP -> SHADOW -> REACH -> ZERO -> TYPE -> LIGHT -> ORIENTATION -> SHUTTER,33.9899,6072000,11,17,100,0,1,1,True,False,False,22.0,7.9899,0.8,1.2,4.3,0.0,-0.8,0.0,-1.5,0.0
23,fog_height_light_shutter-008,GR29,fog,HEIGHT+LIGHT+SHUTTER,REACH -> SHADOW -> LIGHT -> TYPE -> ZERO -> SHUTTER,33.8655,138000,10,12,93,3,0,1,True,True,False,22.0,7.8655,0.0,1.2,3.6,0.0,-0.8,0.0,-0.0,0.0
24,dense_height_plate_shutter-013,,dense,HEIGHT+PLATE+SHUTTER,OVERLAP -> ZERO -> SHADOW -> REACH -> SHUTTER -> TYPE -> ORIENTATION,33.845,1518000,10,3,30,0,2,2,True,False,False,21.6,5.945,1.6,1.2,5.1,0.0,-1.6,0.0,-0.0,0.0
25,dense_height_plate_light-005,,dense,HEIGHT+PLATE+LIGHT,OVERLAP -> REACH -> ZERO -> SHADOW -> LIGHT -> TYPE -> PLATE_ABSENCE -> ORIENTATION,33.6883,1214400,7,8,59,0,3,1,True,False,False,16.2,7.0883,3.4,1.2,6.6,0.0,-0.8,0.0,-0.0,0.0
26,finale-003,,finale,HEIGHT+PLATE+LIGHT+SHUTTER,OVERLAP -> SHADOW -> REACH -> ZERO -> SHUTTER -> LIGHT -> ORIENTATION -> TYPE,33.6238,6072000,13,19,205,0,1,0,True,True,False,21.6,9.2238,1.8,1.2,4.3,0.0,-0.0,0.0,-4.5,0.0
27,fog_height_light-007,GR31,fog,HEIGHT+LIGHT,SHADOW -> REACH -> ZERO -> LIGHT -> TYPE,33.3811,41400,10,24,168,5,0,1,True,False,False,21.2,8.8811,0.0,1.2,2.9,0.0,-0.8,0.0,-0.0,0.0
28,fog_height_plate_light-010,,fog,HEIGHT+PLATE+LIGHT,SHADOW -> ZERO -> REACH -> PLATE_ABSENCE -> ORIENTATION -> LIGHT -> TYPE,33.2837,110400,10,19,153,3,0,2,True,False,False,22.0,8.7201,0.0,1.2,3.6,0.0,-2.2364,0.0,-0.0,0.0
29,finale-011,,finale,HEIGHT+PLATE+LIGHT+SHUTTER,OVERLAP -> SHADOW -> REACH -> ZERO -> LIGHT -> ORIENTATION -> TYPE -> SHUTTER,33.0995,6072000,10,8,113,0,1,3,True,False,False,22.0,8.1995,1.8,1.2,4.3,0.0,-4.4,0.0,-0.0,0.0
30,finale-013,,finale,HEIGHT+PLATE+LIGHT+SHUTTER,OVERLAP -> SHADOW -> REACH -> TYPE -> ZERO -> LIGHT -> SHUTTER -> ORIENTATION,33.0427,6072000,10,18,138,0,1,3,True,False,False,21.6,8.5427,1.8,1.2,4.3,0.0,-4.4,0.0,-0.0,0.0
31,fog_height_light-003,,fog,HEIGHT+LIGHT,SHADOW -> REACH -> ZERO -> LIGHT -> TYPE,32.7444,41400,10,18,116,3,0,1,True,True,False,21.2,8.2444,0.0,1.2,2.9,0.0,-0.8,0.0,-0.0,0.0
32,fog_height_plate_light-001,,fog,HEIGHT+PLATE+LIGHT,REACH -> SHADOW -> TYPE -> ZERO -> LIGHT -> PLATE_ABSENCE -> ORIENTATION,32.6898,110400,10,19,106,3,0,0,True,True,True,21.6,8.0898,0.0,2.4,3.6,-3.0,-0.0,0.0,-0.0,0.0
33,three_plate_light_shutter-005,GR28,three,PLATE+LIGHT+SHUTTER,OVERLAP -> SHADOW -> ZERO -> ORIENTATION -> LIGHT -> SHUTTER,32.6533,276000,8,15,131,0,1,0,True,False,False,17.6,8.4533,1.8,1.2,3.6,0.0,-0.0,0.0,-0.0,0.0
34,finale-012,,finale,HEIGHT+PLATE+LIGHT+SHUTTER,OVERLAP -> SHADOW -> REACH -> LIGHT -> TYPE -> ORIENTATION -> PLATE_ABSENCE -> ZERO -> SHUTTER,32.6113,6072000,8,7,59,0,2,2,True,True,False,17.6,7.0883,2.6,1.2,5.8,0.0,-1.677,0.0,-0.0,0.0
35,fog_height_light_shutter-003,,fog,HEIGHT+LIGHT+SHUTTER,SHADOW -> REACH -> ZERO -> LIGHT -> SHUTTER -> TYPE,32.4656,138000,10,7,95,3,0,2,True,False,False,22.0,7.902,0.0,1.2,3.6,0.0,-2.2364,0.0,-0.0,0.0
36,fog_plate_shutter-009,,fog,PLATE+SHUTTER,SHADOW -> PLATE_ABSENCE -> ZERO -> SHUTTER -> ORIENTATION,32.4533,69000,9,33,221,3,0,0,True,False,False,19.0,9.3533,0.0,1.2,2.9,0.0,-0.0,0.0,-0.0,0.0
37,fog_height_light_shutter-009,,fog,HEIGHT+LIGHT+SHUTTER,OVERLAP -> SHADOW -> REACH -> LIGHT -> TYPE -> ZERO -> SHUTTER,32.4169,138000,8,11,60,3,1,1,True,True,False,18.0,7.1169,1.8,1.2,5.1,0.0,-0.8,0.0,-0.0,0.0
38,fog_height_plate_light-004,,fog,HEIGHT+PLATE+LIGHT,SHADOW -> REACH -> ZERO -> LIGHT -> ORIENTATION -> TYPE,32.3797,110400,9,18,70,3,0,1,True,True,True,19.8,7.3797,0.0,2.4,3.6,0.0,-0.8,0.0,-0.0,0.0
39,three_plate_light_shutter-009,,three,PLATE+LIGHT+SHUTTER,OVERLAP -> SHADOW -> ORIENTATION -> LIGHT -> ZERO -> SHUTTER,32.3425,276000,7,45,311,0,1,0,True,False,False,15.8,9.9425,1.8,1.2,3.6,0.0,-0.0,0.0,-0.0,0.0
40,three_plate_light_shutter-006,,three,PLATE+LIGHT+SHUTTER,OVERLAP -> SHADOW -> LIGHT -> PLATE_ABSENCE -> ZERO -> SHUTTER -> ORIENTATION,32.3115,276000,8,10,85,0,1,0,True,False,False,18.0,7.7115,1.8,1.2,3.6,0.0,-0.0,0.0,-0.0,0.0
41,fog_height_plate_light-002,,fog,HEIGHT+PLATE+LIGHT,SHADOW -> REACH -> ZERO -> LIGHT -> TYPE -> PLATE_ABSENCE -> ORIENTATION,32.2793,110400,9,13,66,3,0,1,True,False,True,19.8,7.2793,0.0,2.4,3.6,0.0,-0.8,0.0,-0.0,0.0
42,fog_height_light-009,,fog,HEIGHT+LIGHT,SHADOW -> REACH -> ZERO -> LIGHT -> TYPE,32.2377,41400,9,15,97,3,0,0,True,True,False,20.2,7.9377,0.0,1.2,2.9,0.0,-0.0,0.0,-0.0,0.0
43,finale-006,,finale,HEIGHT+PLATE+LIGHT+SHUTTER,OVERLAP -> SHADOW -> ZERO -> SHUTTER -> LIGHT -> ORIENTATION -> TYPE,32.202,6072000,11,9,95,0,2,3,True,False,False,21.6,7.902,1.6,1.2,5.8,0.0,-4.4,0.0,-1.5,0.0
44,fog_height_light_shutter-006,,fog,HEIGHT+LIGHT+SHUTTER,SHADOW -> REACH -> ZERO -> LIGHT -> SHUTTER -> TYPE,32.1899,138000,10,6,100,4,0,2,True,False,False,22.0,7.9899,0.0,1.2,3.6,0.0,-2.6,0.0,-0.0,0.0
45,fog_height_light_shutter-007,,fog,HEIGHT+LIGHT+SHUTTER,REACH -> SHADOW -> ZERO -> LIGHT -> TYPE -> SHUTTER,32.1499,138000,10,7,79,3,0,2,True,True,False,22.0,7.5863,0.0,1.2,3.6,0.0,-2.2364,0.0,-0.0,0.0
46,fog_plate_shutter-007,,fog,PLATE+SHUTTER,SHADOW -> ZERO -> SHUTTER -> ORIENTATION,32.0014,69000,9,18,170,5,0,1,True,False,False,19.8,8.9014,0.0,1.2,2.9,0.0,-0.8,0.0,-0.0,0.0
47,three_plate_light_shutter-010,,three,PLATE+LIGHT+SHUTTER,OVERLAP -> SHADOW -> ORIENTATION -> ZERO -> LIGHT -> SHUTTER,31.9465,276000,7,34,196,0,1,0,True,False,False,16.2,9.1465,1.8,1.2,3.6,0.0,-0.0,0.0,-0.0,0.0
48,dense_height_plate_shutter-004,,dense,HEIGHT+PLATE+SHUTTER,OVERLAP -> TYPE -> SHADOW -> SHUTTER -> ORIENTATION,31.8756,1518000,8,6,33,0,4,3,False,False,False,17.2,6.105,3.4,0.0,8.1,0.0,-2.9294,0.0,-0.0,0.0
49,dense_height_plate_light-018,,dense,HEIGHT+PLATE+LIGHT,OVERLAP -> SHADOW -> REACH -> TYPE -> ZERO -> LIGHT -> ORIENTATION,31.8735,1214400,12,9,52,0,3,1,True,False,False,21.6,6.8735,2.4,1.2,6.6,-3.0,-0.8,0.0,-3.0,0.0
50,three_height_plate_shutter-002,GR26,three,HEIGHT+PLATE+SHUTTER,OVERLAP -> SHADOW -> REACH -> TYPE -> ZERO -> SHUTTER -> ORIENTATION,31.8688,138000,8,3,27,0,2,1,True,False,False,18.0,5.7688,2.6,1.2,5.1,0.0,-0.8,0.0,-0.0,0.0
51,finale-018,,finale,HEIGHT+PLATE+LIGHT+SHUTTER,OVERLAP -> SHADOW -> REACH -> PLATE_ABSENCE -> ZERO -> LIGHT -> TYPE -> ORIENTATION -> SHUTTER,31.694,6072000,9,23,181,0,1,3,True,False,False,19.4,9.0094,1.8,1.2,4.3,0.0,-4.0154,0.0,-0.0,0.0
52,three_plate_light_shutter-007,,three,PLATE+LIGHT+SHUTTER,OVERLAP -> SHADOW -> ORIENTATION -> ZERO -> PLATE_ABSENCE -> LIGHT -> SHUTTER,31.6913,276000,7,14,169,0,1,0,True,False,False,16.2,8.8913,1.8,1.2,3.6,0.0,-0.0,0.0,-0.0,0.0
53,finale-017,,finale,HEIGHT+PLATE+LIGHT+SHUTTER,OVERLAP -> SHADOW -> REACH -> ZERO -> TYPE -> LIGHT -> PLATE_ABSENCE -> SHUTTER -> ORIENTATION,31.6026,6072000,12,25,241,0,1,3,True,True,True,22.0,9.5026,0.8,2.4,4.3,0.0,-4.4,0.0,-3.0,0.0
54,finale-014,,finale,HEIGHT+PLATE+LIGHT+SHUTTER,OVERLAP -> SHADOW -> LIGHT -> PLATE_ABSENCE -> ZERO -> SHUTTER -> TYPE -> ORIENTATION,31.5932,6072000,11,10,57,0,1,2,True,False,False,22.0,7.0296,0.8,1.2,4.3,0.0,-2.2364,0.0,-1.5,0.0
55,three_plate_light_shutter-002,,three,PLATE+LIGHT+SHUTTER,OVERLAP -> SHADOW -> ORIENTATION -> LIGHT -> ZERO -> SHUTTER,31.5813,276000,7,31,200,0,1,0,True,False,False,15.8,9.1813,1.8,1.2,3.6,0.0,-0.0,0.0,-0.0,0.0
56,dense_height_plate_shutter-006,,dense,HEIGHT+PLATE+SHUTTER,OVERLAP -> PLATE_ABSENCE -> REACH -> SHADOW -> ZERO -> TYPE -> SHUTTER -> ORIENTATION,31.4765,1518000,9,8,26,0,2,3,True,True,False,19.8,5.7059,2.6,1.2,5.1,0.0,-2.9294,0.0,-0.0,0.0
57,dense_height_plate_light-002,,dense,HEIGHT+PLATE+LIGHT,OVERLAP -> SHADOW -> REACH -> ZERO -> LIGHT -> ORIENTATION -> TYPE,31.2965,1214400,11,6,52,0,1,2,True,False,False,22.0,6.8735,0.8,1.2,3.6,0.0,-1.677,0.0,-1.5,0.0
58,three_plate_light_shutter-003,,three,PLATE+LIGHT+SHUTTER,OVERLAP -> SHADOW -> ORIENTATION -> ZERO -> LIGHT -> SHUTTER,31.2708,276000,7,28,167,0,1,0,True,False,False,15.8,8.8708,1.8,1.2,3.6,0.0,-0.0,0.0,-0.0,0.0
59,fog_plate_shutter-004,,fog,PLATE+SHUTTER,SHADOW -> PLATE_ABSENCE -> ZERO -> SHUTTER -> ORIENTATION,31.2527,69000,9,15,160,3,0,2,True,False,True,20.2,8.7971,0.0,2.4,2.9,0.0,-3.0444,0.0,-0.0,0.0
60,dense_height_plate_light-015,,dense,HEIGHT+PLATE+LIGHT,OVERLAP -> SHADOW -> REACH -> ORIENTATION -> TYPE -> LIGHT,31.2283,1214400,10,4,22,0,1,1,False,False,False,21.2,5.4283,1.8,0.0,3.6,0.0,-0.8,0.0,-0.0,0.0
61,dense_height_plate_shutter-009,,dense,HEIGHT+PLATE+SHUTTER,OVERLAP -> REACH -> SHADOW -> TYPE -> ZERO -> SHUTTER -> ORIENTATION,31.1569,1518000,12,6,39,0,3,3,True,False,False,22.0,6.3863,2.4,1.2,5.1,0.0,-2.9294,0.0,-3.0,0.0
62,fog_height_light-006,,fog,HEIGHT+LIGHT,REACH -> SHADOW -> ZERO -> TYPE -> LIGHT,31.1401,41400,9,16,130,3,0,1,True,True,False,19.4,8.4401,0.0,1.2,2.9,0.0,-0.8,0.0,-0.0,0.0
63,fog_height_light-001,,fog,HEIGHT+LIGHT,SHADOW -> REACH -> ZERO -> LIGHT -> TYPE,31.1069,41400,9,13,101,3,0,1,True,False,False,19.8,8.0069,0.0,1.2,2.9,0.0,-0.8,0.0,-0.0,0.0
64,dense_height_plate_shutter-005,,dense,HEIGHT+PLATE+SHUTTER,OVERLAP -> SHADOW -> REACH -> ORIENTATION -> TYPE -> ZERO -> SHUTTER,30.7688,1518000,9,5,27,0,2,2,True,True,False,20.2,5.7688,1.6,1.2,3.6,0.0,-1.6,0.0,-0.0,0.0
65,dense_height_plate_light-009,,dense,HEIGHT+PLATE+LIGHT,OVERLAP -> SHADOW -> LIGHT -> TYPE -> PLATE_ABSENCE -> ORIENTATION -> ZERO,30.6192,1214400,7,6,33,0,3,3,True,False,True,15.8,6.105,3.4,2.4,6.6,0.0,-3.6858,0.0,-0.0,0.0
66,three_height_plate_shutter-001,,three,HEIGHT+PLATE+SHUTTER,OVERLAP -> SHADOW -> PLATE_ABSENCE -> ORIENTATION -> TYPE -> ZERO -> SHUTTER,30.5965,138000,8,11,105,0,1,2,True,False,False,17.6,8.0735,1.8,1.2,3.6,0.0,-1.677,0.0,-0.0,0.0
67,three_plate_light_shutter-008,,three,PLATE+LIGHT+SHUTTER,OVERLAP -> SHADOW -> ZERO -> SHUTTER -> LIGHT -> ORIENTATION -> PLATE_ABSENCE,30.4396,276000,7,21,164,0,1,0,True,False,False,15.0,8.8396,1.8,1.2,3.6,0.0,-0.0,0.0,-0.0,0.0
68,dense_height_plate_light-003,,dense,HEIGHT+PLATE+LIGHT,OVERLAP -> REACH -> SHADOW -> ZERO -> LIGHT -> ORIENTATION -> TYPE,30.3743,1214400,8,8,43,0,2,2,True,False,False,17.6,6.5513,1.6,1.2,5.1,0.0,-1.677,0.0,-0.0,0.0
69,dense_height_plate_light-010,,dense,HEIGHT+PLATE+LIGHT,OVERLAP -> SHADOW -> REACH -> ZERO -> LIGHT -> TYPE -> PLATE_ABSENCE -> ORIENTATION,30.2498,1214400,7,12,64,0,2,2,True,False,False,15.8,7.2268,2.6,1.2,5.1,0.0,-1.677,0.0,-0.0,0.0
70,fog_height_light_shutter-005,,fog,HEIGHT+LIGHT+SHUTTER,OVERLAP -> SHADOW -> REACH -> ZERO -> LIGHT -> TYPE -> SHUTTER,30.245,138000,7,7,61,4,1,1,True,False,False,15.8,7.145,1.8,1.2,5.1,0.0,-0.8,0.0,-0.0,0.0
71,dense_height_plate_shutter-012,,dense,HEIGHT+PLATE+SHUTTER,OVERLAP -> REACH -> SHADOW -> TYPE -> PLATE_ABSENCE -> ZERO -> SHUTTER -> ORIENTATION,30.205,1518000,8,4,16,0,2,2,True,False,False,18.0,4.905,2.6,1.2,5.1,0.0,-1.6,0.0,-0.0,0.0
72,three_height_plate_shutter-010,,three,HEIGHT+PLATE+SHUTTER,OVERLAP -> REACH -> SHADOW -> TYPE -> ZERO -> SHUTTER -> ORIENTATION,30.1841,138000,10,12,56,0,1,3,True,False,False,21.6,6.9995,0.8,1.2,3.6,0.0,-4.0154,0.0,-0.0,0.0
73,dense_height_plate_shutter-020,,dense,HEIGHT+PLATE+SHUTTER,OVERLAP -> SHADOW -> PLATE_ABSENCE -> ORIENTATION -> ZERO -> SHUTTER -> TYPE,30.1188,1518000,9,2,13,0,2,3,True,False,False,19.8,4.5688,2.6,1.2,5.1,0.0,-3.15,0.0,-0.0,0.0
74,three_plate_light_shutter-004,,three,PLATE+LIGHT+SHUTTER,OVERLAP -> SHADOW -> LIGHT -> ORIENTATION -> ZERO -> SHUTTER,29.7115,276000,7,10,85,0,1,0,True,False,False,15.4,7.7115,1.8,1.2,3.6,0.0,-0.0,0.0,-0.0,0.0
75,fog_height_plate_light-007,,fog,HEIGHT+PLATE+LIGHT,SHADOW -> REACH -> TYPE -> ZERO -> LIGHT -> PLATE_ABSENCE -> ORIENTATION,29.6898,110400,9,16,106,3,0,2,True,True,False,19.4,8.0898,0.0,1.2,3.6,0.0,-2.6,0.0,-0.0,0.0
76,fog_height_light_shutter-002,,fog,HEIGHT+LIGHT+SHUTTER,SHADOW -> REACH -> ZERO -> LIGHT -> TYPE -> SHUTTER,29.6883,138000,9,4,29,3,0,1,True,False,False,19.8,5.8883,0.0,1.2,3.6,0.0,-0.8,0.0,-0.0,0.0
77,fog_height_plate_light-005,,fog,HEIGHT+PLATE+LIGHT,SHADOW -> REACH -> LIGHT -> TYPE -> ORIENTATION -> ZERO,29.65,110400,8,13,82,3,0,1,True,True,False,18.0,7.65,0.0,1.2,3.6,0.0,-0.8,0.0,-0.0,0.0
78,two_shutter_light-006,GR23,two,LIGHT+SHUTTER,OVERLAP -> SHADOW -> LIGHT -> ZERO -> SHUTTER,29.4797,46000,7,12,70,0,1,0,True,False,False,16.2,7.3797,1.8,1.2,2.9,0.0,-0.0,0.0,-0.0,0.0
79,three_plate_light_shutter-001,,three,PLATE+LIGHT+SHUTTER,OVERLAP -> SHADOW -> ZERO -> SHUTTER -> LIGHT -> ORIENTATION,29.3899,276000,7,9,100,0,1,0,True,False,False,15.8,7.9899,0.8,1.2,3.6,0.0,-0.0,0.0,-0.0,0.0
80,dense_height_plate_shutter-015,,dense,HEIGHT+PLATE+SHUTTER,OVERLAP -> TYPE -> SHADOW -> ORIENTATION -> ZERO -> SHUTTER,29.2414,1518000,7,5,20,0,3,3,False,False,False,15.4,5.2708,3.4,0.0,8.1,0.0,-2.9294,0.0,-0.0,0.0
81,dense_height_plate_shutter-011,,dense,HEIGHT+PLATE+SHUTTER,OVERLAP -> SHADOW -> REACH -> TYPE -> ZERO -> SHUTTER -> ORIENTATION,29.1513,1518000,9,2,10,0,2,2,True,False,False,20.2,4.1513,1.6,1.2,3.6,0.0,-1.6,0.0,-0.0,0.0
82,fog_height_light_shutter-010,,fog,HEIGHT+LIGHT+SHUTTER,SHADOW -> REACH -> ZERO -> LIGHT -> SHUTTER -> TYPE,29.0656,138000,9,5,47,3,0,2,True,False,False,19.8,6.702,0.0,1.2,3.6,0.0,-2.2364,0.0,-0.0,0.0
83,three_height_plate_light-008,GR27,three,HEIGHT+PLATE+LIGHT,OVERLAP -> SHADOW -> PLATE_ABSENCE -> REACH -> LIGHT -> TYPE -> ZERO -> ORIENTATION,29.0655,110400,8,8,46,0,1,1,True,True,False,17.6,6.6655,0.8,1.2,3.6,0.0,-0.8,0.0,-0.0,0.0
84,dense_height_plate_shutter-010,,dense,HEIGHT+PLATE+SHUTTER,OVERLAP -> REACH -> SHADOW -> TYPE -> PLATE_ABSENCE -> ORIENTATION -> ZERO -> SHUTTER,29.0455,1518000,10,4,21,0,1,4,True,False,False,22.0,5.3513,1.8,1.2,3.6,0.0,-4.9058,0.0,-0.0,0.0
85,dense_height_plate_light-014,,dense,HEIGHT+PLATE+LIGHT,OVERLAP -> REACH -> SHADOW -> ORIENTATION -> ZERO -> LIGHT -> TYPE -> PLATE_ABSENCE,28.983,1214400,8,6,27,0,2,3,True,False,False,18.0,5.7688,2.6,1.2,5.1,0.0,-3.6858,0.0,-0.0,0.0
86,dense_height_plate_light-013,,dense,HEIGHT+PLATE+LIGHT,OVERLAP -> SHADOW -> REACH -> LIGHT -> ORIENTATION -> TYPE,28.968,1214400,7,7,61,0,2,2,False,False,False,15.8,7.145,2.6,0.0,5.1,0.0,-1.677,0.0,-0.0,0.0
87,dense_height_plate_light-011,,dense,HEIGHT+PLATE+LIGHT,OVERLAP -> PLATE_ABSENCE -> REACH -> LIGHT -> ORIENTATION -> TYPE -> SHADOW,28.9059,1214400,6,4,26,0,3,0,False,False,False,13.2,5.7059,3.4,0.0,6.6,0.0,-0.0,0.0,-0.0,0.0
